date,asm_domestic,asm_international,flights_domestic,flights_international,passengers_domestic,passengers_international,rpm_domestic,rpm_international,airport
2002-10-01,22438,,242,,23585,,13307,,DTW
2002-11-01,21556,,232,,23984,,13553,,DTW
2002-12-01,21295,,237,,27425,79.0,15159,,DTW
2003-01-01,21758,,241,,20001,79.0,11290,,DTW
2003-02-01,19287,,215,,23149,85.0,12967,,DTW
2003-03-01,20530,,235,,22079,82.0,12377,,DTW
2003-04-01,16215,,183,,18624,,10895,,DTW
2003-05-01,16412,,181,,18275,,10861,,DTW
2003-06-01,17669,,201,,21426,,12722,,DTW
2003-07-01,18181,,207,,23664,,14047,,DTW
2003-08-01,17399,,206,,20744,,12322,,DTW
2003-09-01,16157,,201,,17298,,10237,,DTW
2003-10-01,17544,,208,,19402,,11525,,DTW
2003-11-01,15822,,195,,17623,,10468,,DTW
2003-12-01,18217,,208,,21252,,12624,,DTW
2004-01-01,25081,,243,,18093,,12400,,DTW
2004-02-01,28330,,265,,23425,,17398,,DTW
2004-03-01,31531,,297,,25191,,19185,,DTW
2004-04-01,30151,,287,,26677,,19728,,DTW
2004-05-01,31483,,292,,24247,,18108,,DTW
2004-06-01,30047,,283,,27901,,21688,,DTW
2004-07-01,31037,,297,,31022,,24117,,DTW
2004-08-01,30855,,295,,27461,,21414,,DTW
2004-09-01,29541,,281,,25676,,19556,,DTW
2004-10-01,31252,,300,,23989,,18050,,DTW
2004-11-01,30100,,287,,25648,,19191,,DTW
2004-12-01,29930,,293,,28188,,21069,,DTW
2005-01-01,26624,,271,,20502,,15611,,DTW
2005-02-01,27093,,278,,24297,,18121,,DTW
2005-03-01,30399,,309,,29406,,22527,,DTW
2005-04-01,28558,,296,,21760,,16333,,DTW
2005-05-01,30544,,315,,24353,,18597,,DTW
2005-06-01,29740,,296,,29793,,23448,,DTW
2005-07-01,30394,,297,,32259,,25668,,DTW
2005-08-01,31783,,316,,30841,,24677,,DTW
2005-09-01,11484,,161,,14207,,8439,,DTW
2005-10-01,12505,,174,,14764,,8770,,DTW
2005-11-01,13086,,183,,16803,,9981,,DTW
2005-12-01,14450,,169,,17946,,10660,,DTW
2006-01-01,14254,,169,,14313,4.0,8504,,DTW
2006-02-01,13410,,162,,17283,23.0,10045,,DTW
2006-03-01,14927,,177,,19393,11.0,11526,,DTW
2006-04-01,13675,,166,,16429,11.0,9765,,DTW
2006-05-01,11530,,137,,13993,25.0,8327,,DTW
2006-06-01,16927,,165,,19691,23.0,14498,,DTW
2006-07-01,14160,,157,,18204,31.0,11164,,DTW
2006-08-01,13474,,151,,16477,19.0,9788,,DTW
2006-09-01,19692,,192,,17448,,12842,,DTW
2006-10-01,21893,,209,,20613,62.0,15381,,DTW
2006-11-01,18612,,175,,18445,96.0,13538,,DTW
2006-12-01,19455,,183,,19830,64.0,15024,,DTW
2007-01-01,16084,,139,,12834,14.0,10648,,DTW
2007-02-01,13327,,118,,13546,,10699,,DTW
2007-03-01,13947,,118,,13804,,11340,,DTW
2007-04-01,15396,,140,,14477,5.0,11191,,DTW
2007-05-01,17476,,168,,17081,23.0,12738,,DTW
2007-06-01,18917,,175,,21392,18.0,16355,,DTW
2007-07-01,19026,,176,,22914,16.0,17461,,DTW
2007-08-01,18875,,177,,22617,10.0,16906,,DTW
2007-09-01,17753,,163,,16847,13.0,13204,,DTW
2007-10-01,20949,,198,,20037,17.0,15378,,DTW
2007-11-01,18136,,166,,18448,22.0,14128,,DTW
2007-12-01,12316,,105,,11868,,9904,,DTW
2008-01-01,10890,,85,,8670,,7963,,DTW
2008-02-01,12066,,101,,12337,,10152,,DTW
2008-03-01,12136,,93,,12000,,10812,,DTW
2008-04-01,12176,,104,,12386,,10311,,DTW
2008-05-01,12894,,112,,13226,,10968,,DTW
2008-06-01,16038,,141,,17716,,14246,,DTW
2008-07-01,16478,,145,,18803,,14967,,DTW
2008-08-01,16978,,149,,19186,,15320,,DTW
2008-09-01,23058,,220,,24629,,18463,,DTW
2008-10-01,24288,,231,,27085,24.0,19905,,DTW
2008-11-01,20187,,187,,20981,,15584,,DTW
2008-12-01,20275,,189,,23006,,17138,,DTW
2009-01-01,22894,,209,,25315,,18744,,DTW
2009-02-01,20581,,183,,24823,63.0,18333,,DTW
2009-03-01,24706,,193,,27232,,21534,,DTW
2009-04-01,43423,,373,,49299,,37163,,DTW
2009-05-01,44063,27763.0,394,30.0,48257,6693.0,36930,25018.0,DTW
2009-06-01,40732,27245.0,378,30.0,47326,7000.0,35563,25551.0,DTW
