date,asm_domestic,asm_international,flights_domestic,flights_international,passengers_domestic,passengers_international,rpm_domestic,rpm_international,airport
2002-10-01,42234,,339,,31498,,27204,,MSP
2002-11-01,39409,,316,,25512,,22193,,MSP
2002-12-01,39633,,317,,31000,,27006,,MSP
2003-01-01,40155,,325,,26614,,23401,,MSP
2003-02-01,35176,,285,,25026,,22055,,MSP
2003-03-01,39260,,319,,31504,,27415,,MSP
2003-04-01,31731,,259,,20379,,17519,,MSP
2003-05-01,37969,,316,,25096,,21774,,MSP
2003-06-01,36891,,316,,30529,,26474,,MSP
2003-07-01,37357,,321,,32599,,28253,,MSP
2003-08-01,37229,,328,,30905,,26795,,MSP
2003-09-01,35909,,317,,24695,,21452,,MSP
2003-10-01,37137,,328,,27357,,23836,,MSP
2003-11-01,35073,,309,,25188,,22085,,MSP
2003-12-01,35335,,325,,28520,,24937,,MSP
2004-01-01,41668,,357,,26729,,23889,,MSP
2004-02-01,39667,,334,,25599,,23256,,MSP
2004-03-01,43498,,368,,32378,,29332,,MSP
2004-04-01,40124,,356,,25115,,22566,,MSP
2004-05-01,40805,,364,,23983,,21421,,MSP
2004-06-01,38409,,350,,30112,,27044,,MSP
2004-07-01,39622,,362,,33545,,30218,,MSP
2004-08-01,39590,,362,,30356,,27061,,MSP
2004-09-01,37833,,346,,25790,,23025,,MSP
2004-10-01,39600,,362,,29915,,26860,,MSP
2004-11-01,37942,,348,,27530,,24680,,MSP
2004-12-01,40102,,356,,31484,,28413,,MSP
2005-01-01,38398,,340,,28166,,25343,,MSP
2005-02-01,30105,,243,,21617,,19993,,MSP
2005-03-01,34004,,274,,28748,,26591,,MSP
2005-04-01,28752,,233,,18228,,16686,,MSP
2005-05-01,29462,,238,,16873,,15531,,MSP
2005-06-01,29537,,239,,23761,,21797,,MSP
2005-07-01,31140,,247,,25402,,24302,,MSP
2005-08-01,30383,,246,,24610,,22561,,MSP
2005-09-01,30107,,247,,19476,,17862,,MSP
2005-10-01,31448,,261,,20931,,19178,,MSP
2005-11-01,27396,,228,,19535,,18043,,MSP
2005-12-01,23580,,224,,18536,,16556,,MSP
